Nomenclátor: Población del Padrón Continuo por Unidad Poblacional a 1 de enero;;;;;;;
;;;;;;;
;;Año 2023;;;Año 2004;;
46 Valencia/València;067 Benissanó;2385;1176;1209;1974;1012;962
46 Valencia/València;068 Benissoda;460;248;212;320;174;146
46 Valencia/València;069 Benissuera;185;93;92;194;95;99
46 Valencia/València;070 Bétera;26759;13321;13438;17188;8588;8600
46 Valencia/València;071 Bicorp;549;266;283;645;320;325
46 Valencia/València;072 Bocairent;4115;2070;2045;4496;2224;2272
46 Valencia/València;073 Bolbaite;1334;657;677;1458;749;709
46 Valencia/València;074 Bonrepòs i Mirambell;3907;1912;1995;2526;1253;1273
46 Valencia/València;075 Bufali;156;82;74;199;102;97
46 Valencia/València;076 Bugarra;783;398;385;860;433;427
46 Valencia/València;077 Buñol;9579;4765;4814;9273;4628;4645
46 Valencia/València;078 Burjassot;39702;19055;20647;37330;18266;19064
46 Valencia/València;079 Calles;431;249;182;384;215;169
46 Valencia/València;080 Camporrobles;1189;611;578;1372;689;683
46 Valencia/València;081 Canals;13162;6548;6614;13671;6852;6819
46 Valencia/València;082 Canet d'En Berenguer;7265;3653;3612;3669;1856;1813
46 Valencia/València;083 Carcaixent;20777;10335;10442;21119;10459;10660
46 Valencia/València;084 Càrcer;1826;879;947;2026;970;1056
46 Valencia/València;085 Carlet;16141;8089;8052;14622;7324;7298
46 Valencia/València;086 Carrícola;102;51;51;79;38;41
46 Valencia/València;087 Casas Altas;146;72;74;158;82;76
46 Valencia/València;088 Casas Bajas;173;88;85;243;136;107
46 Valencia/València;089 Casinos;3091;1556;1535;2382;1222;1160
46 Valencia/València;090 Castelló de Rugat;2322;1181;1141;2301;1189;1112
46 Valencia/València;091 Castellonet de la Conquesta;149;80;69;172;98;74
46 Valencia/València;092 Castielfabib;297;159;138;284;153;131
46 Valencia/València;093 Catadau;2939;1478;1461;2487;1273;1214
46 Valencia/València;094 Catarroja;29316;14487;14829;22904;11386;11518
46 Valencia/València;095 Caudete de las Fuentes;693;362;331;795;403;392
46 Valencia/València;096 Cerdà;360;186;174;291;153;138
46 Valencia/València;097 Cofrentes;1130;566;564;948;470;478
46 Valencia/València;098 Corbera;3118;1537;1581;3057;1493;1564
46 Valencia/València;099 Cortes de Pallás;753;409;344;999;513;486
46 Valencia/València;100 Cotes;314;161;153;363;168;195
46 Valencia/València;105 Cullera;23753;11958;11795;22544;11368;11176
46 Valencia/València;106 Chelva;1645;850;795;1986;1021;965
46 Valencia/València;107 Chella;2445;1221;1224;2618;1307;1311
46 Valencia/València;108 Chera;483;255;228;525;266;259
46 Valencia/València;109 Cheste;8962;4622;4340;7255;3732;3523
46 Valencia/València;111 Chiva;16750;8570;8180;11386;5778;5608
46 Valencia/València;112 Chulilla;687;368;319;772;391;381
46 Valencia/València;113 Daimús;3348;1681;1667;2242;1145;1097
46 Valencia/València;114 Domeño;684;337;347;568;303;265
46 Valencia/València;115 Dos Aguas;340;195;145;441;244;197
46 Valencia/València;116 Eliana, l';19054;9344;9710;15026;7492;7534
46 Valencia/València;117 Emperador;717;371;346;260;135;125
46 Valencia/València;118 Enguera;4781;2392;2389;5484;2883;2601
46 Valencia/València;119 Énova, l';914;471;443;997;502;495
46 Valencia/València;120 Estivella;1598;774;824;1164;561;603
46 Valencia/València;121 Estubeny;114;56;58;183;95;88
46 Valencia/València;122 Faura;3619;1809;1810;2743;1380;1363
46 Valencia/València;123 Favara;2664;1365;1299;1855;921;934
46 Valencia/València;124 Fontanars dels Alforins;951;492;459;996;507;489
46 Valencia/València;125 Fortaleny;1004;496;508;1010;503;507
46 Valencia/València;126 Foios;7641;3733;3908;6035;2954;3081
46 Valencia/València;127 Font d'en Carròs, la;3858;1934;1924;3421;1700;1721
46 Valencia/València;128 Font de la Figuera, la;2031;1034;997;2139;1083;1056
46 Valencia/València;129 Fuenterrobles;688;373;315;737;384;353
46 Valencia/València;257 Castelló;6891;3387;3504;7239;3580;3659
46 Valencia/València;904 Benicull de Xúquer;1134;573;561;784;388;396
